"","year","month","week","yday","date","depth","dist","latdd","londd","numPkm2","Lon.km","Lat.km","year_f","scale_depth","scale_dist2shore","rownum"
"102",1999,"May",20,139,1999-05-19,56.6928,18.52,47.00365829,-124.4329681,0,391.065989323661,5206.56706782724,"1999",-0.489465019968841,-0.524205268091862,102
"103",1999,"May",20,139,1999-05-19,40.2336,9.26,46.99532318,-124.3097763,0,400.415405505907,5205.47686073953,"1999",-0.628953875793395,-1.06575925182634,103
"104",1999,"May",20,139,1999-05-19,58.5216,18.52,46.98777771,-124.4320374,0,391.104477803499,5204.80106150907,"1999",-0.473966258210558,-0.524205268091862,104
"105",1999,"May",20,140,1999-05-20,29.2608,7.408,46.1515274,-124.076149,0,416.899240907663,5111.44629642104,"1999",-0.721946446343098,-1.17407004857324,105
"106",1999,"May",20,140,1999-05-20,67.6656,12.964,46.14953232,-124.1658173,9.192024743,409.971792754194,5111.32233589224,"1999",-0.396472449419139,-0.849137658332551,106
"107",1999,"May",20,140,1999-05-20,78.6384,18.52,46.14794922,-124.2215271,2.594126229,405.667020555938,5111.21108363073,"1999",-0.303479878869436,-0.524205268091862,107
"108",1999,"May",20,140,1999-05-20,113.3856,27.78,46.14818192,-124.3477249,1.815449201,395.92184360996,5111.39453666402,"1999",-0.00900340546204466,0.0173487156426204,108
"109",1999,"May",20,140,1999-05-20,133.5024,37.04,46.14833069,-124.4509735,4.056560035,387.948828289604,5111.55152388988,"1999",0.161482973879077,0.558902699377102,109
"110",1999,"May",20,140,1999-05-20,148.1328,46.3,46.15292358,-124.554718,10.25502624,379.947239806742,5112.21340649064,"1999",0.285473067945347,1.10045668311158,110
"111",1999,"May",20,140,1999-05-20,438.912,55.56,46.14703369,-124.6833267,12.66000115,370.002525821658,5111.7614269126,"1999",2.74977618751247,1.64201066684607,111
"112",1999,"May",20,141,1999-05-21,493.776,55.56,46.13829041,-124.6872177,0,369.681407440686,5110.79635576891,"1999",3.21473904026098,1.64201066684607,112
"113",1999,"May",20,141,1999-05-21,1024.128,74.08,46.15145111,-124.9228821,3.343588174,351.514630036106,5112.67220352715,"1999",7.70937995016327,2.72511863431503,113
"114",1999,"May",20,141,1999-05-21,848.5632,92.6,46.14464951,-125.1665039,0,332.681816097078,5112.4008631468,"1999",6.22149882136803,3.80822660178399,114
